Era	Name	Notes (Join the Discord if we missed anything)	Length	Release Date	Type	Streaming	Link(s)
Before The College Dropout	Jermaine Dupri - Intro / Turn It Out (feat. Nas) (prod. Kanye West)	Track 1 on the 1998 album Life in 1472: The Original Soundtrack. Features writing from Davy DMX & mixing from Phil Tan.	3:57	Jul 21, 1998	Production	Yes	https://www.youtube.com/watch?v=jr1pk_qWKBk
Before The College Dropout	DJ Ashnuckles - 1998 Freestyle  (feat. Kanye West)	Released on DJ Ashnuckles' 1998 Mixtape The Underground Railroad.	1:22	Oct 20, 1998	Feature	No	https://pillows.su/f/7029f2e88846499b2b3f024a6fd17c65
Before The College Dropout	Solar Tha Rightchus - What Am I To Do?  (feat. Kanye West) (prod. AllDay)	Featured on Chicago rapper Solar Tha Righchus' 1999 project Time to Shine.	4:50		Feature	No	https://pillows.su/f/b8c2ba9ec09ea90a2c652485e7376076
Before The College Dropout	Solar Tha Rightchus - Blow It Up (feat. Kanye West) (prod. Kanye West)	Track 2 on Solar Tha Righchus' 1999 project Time to Shine.	3:22		Feature	No	https://pillows.su/f/4aaeed15eb5787597db92bc074c75a36
Before The College Dropout	World Record Holders (with Go Getters)	The debut compilation tape of Go Getters, Kanye's rap group. Contains Go Getters songs, solo Kanye songs, and songs by other artists that Kanye produced. Released sometime in 1999. A bootleg compilation of 13 tracks from this was leaked as a mixtape under the same title, though it is not the genuine 24-track version. Supposedly Ye narrated "adlibs and stories" during tracks 11-22.	43:00		Other	No	https://www.youtube.com/watch?v=cFg-4g-35d0
Before The College Dropout	Uh Oh! (with Go Getters) (feat. Kanye West, Timmy G & GLC) (prod. Kanye West) (Oh Oh Oh, Oh-Oh-Oh, Uh Oh)	Single from Kanye's group Go Getters, which consisted of Kanye, Arrowstar, GLC, Really Doe & Timmy G. Also a bonus track from Go Getter's 1999 compilation tape World Record Holders.	4:09		Single	No	https://soundcloud.com/glctheism/11-uh-oh?in=glctheism/sets/go-getters-world-record
Before The College Dropout	Let Em In (with Go Getters) (feat. Kanye West, GLC & Timmy G) (prod. Kanye West & No I.D.) (Let My Niggas In)	Single from Kanye's group Go Getters, which consisted of Kanye, Arrowstar, GLC, Really Doe & Timmy G. Also a bonus track from Go Getter's 1999 compilation tape World Record Holders.	3:47		Single	No	https://soundcloud.com/glctheism/13-let-em-in?in=glctheism/sets/go-getters-world-record
Before The College Dropout	R.O.C. - 4 Richer Or Poorer (prod. Kanye West & AllDay)	The first single from R.O.C.'s unreleased 2000 debut album, released sometime in 1999. Contains a sample of 'Cause I Love You', written by Lenny Williams, Mikey Bennet, & Frank Wilson (as performed by Lenny Williams).	4:15		Single	No	https://www.youtube.com/watch?v=3-Jvo_0cINE
Before The College Dropout	Foxy Brown - My Life (prod. Deric "D-Dot" Angelettie & Kane West)	Track 3 from the 1999 album Chyna Doll. Also track 28 from Kanye West's 2002 mixtape Get Well Soon... Features mixing by Deric "D-Dot" Angelettie, Ken DURO Ifill & Chris Ribando. Recorded by Tom Soares & Eric "Ibo" Butler. Kanye's name was accidentally misspelled on the liner notes for the album as "Kane West".	4:27	Jan 26, 1999	Production	Yes	https://open.spotify.com/track/0o2r7L42B1clJULbC4xRzM?si=c7d7042bc44b4044
Before The College Dropout	Harlem World - You Made Me (feat. Carl Thomas & Nas) (prod. Kanye West)	Track 2 of the 1999 album The Movement. Also track 27 from Kanye West's 2002 mixtape Get Well Soon...	3:50	Mar 9, 1999	Production	Yes	https://music.apple.com/ca/song/you-made-me-feat-carl-thomas-nas/268442402 https://www.youtube.com/watch?v=M74FnZ4ak2Q
Before The College Dropout	Harlem World - Minute Man (feat. Nauty) (prod. Kanye West)	Track 3 of the 1999 album The Movement. Samples the song "Lovely Day" by Bill Withers.	4:16	Mar 9, 1999	Production	Yes	https://music.apple.com/ca/album/you-made-me-feat-carl-thomas-nas/268442393?i=268442402 https://youtu.be/_tGLWhWhel4
Before The College Dropout	Harlem World - 100 Shiesty's (feat. Drag-On) (prod. Kanye West)	Track 8 of the 1999 album The Movement.	3:38	Mar 9, 1999	Production	Yes	https://music.apple.com/ca/album/100-shiestys-feat-dragon/268442393?i=268442492 https://youtu.be/jPm4RaOUD20
Before The College Dropout	Infamous Syndicate - What You Do To Me (feat. Frank Williams, Jr. & Kanye West) (prod. Kanye West)	Track 6 from the 1999 album Changing The Game. Released March 16, 1999. Samples the song "You Don't Know What Love Is" by Larry Coryell.	5:01	Mar 16, 1999	Feature	Yes	https://open.spotify.com/track/03dQ5gHzhCMweWB8CTHnFD?si=8ae4ec1196df468c
Before The College Dropout	Infamous Syndicate - Clock Strikes 12 (feat. Hussein Fatal) (prod. Kanye West)	Track 8 from the 1999 album Changing The Game. Released March 16, 1999.	4:18	Mar 16, 1999	Production	Yes	https://open.spotify.com/track/34barVRozIB4xPoLkm7Ijq?si=cc0353bc7c724eae
Before The College Dropout	Infamous Syndicate - City of Hustlas (prod. Kanye West)	Track 13 from the 1999 album Changing The Game. Released March 16, 1999.	5:49	Mar 16, 1999	Production	Yes	https://open.spotify.com/track/3kWBqAoBEmOh9y21gqhFJW?si=6bca581042cd46d4
Before The College Dropout	Trina & Tamara - Joanne (prod. Deric "D-Dot" Angelettie, J.D Crafton & Kanye West)	Track 3 from the 1999 self-titled album Trina & Tamara by the female R&B duo Trina & Tamara.	4:22		Production	Yes	https://open.spotify.com/track/1OzNLxyrvbzb2yqqtVzCBH?si=92bdef83a2934da9
Before The College Dropout	Trina & Tamara - Joanne (Clean Remix) (feat. Eve) (prod. Deric "D-Dot" Angelettie, J.D Crafton & Kanye West)	Track 12 from the CD release of  the 1999 album Trina & Tamara. Is exlcusive to the CD and adds a feature from female rapper Eve, along with censoring.	4:19		Production	No	https://www.youtube.com/watch?v=LH9Rv3Mjlx8
Before The College Dropout	Made Men - Just You And I (prod. Deric "D-Dot" Angelettie & Kanye West)	Track 2 of the 1999 album Classic Limited Edition. Samples the songs "Since We Said Goodbye" by The Counts and "Mt. Airy Groove" by Pieces of a Drean.	3:51	Aug 24, 1999	Production	Yes	https://open.spotify.com/track/73p4eOXB8an92Fp9f12pUd?si=f14a8d633e52471e
Before The College Dropout	The Madd Rapper - You're All Alone (feat. Picasso Black) (prod. Deric "D-Dot" Angelettie & Kanye West)	Track 4 of the 1999 album Tell Em Why U Madd. Samples the song "Shook Ones Part II" by Mobb Deep.	3:48	Sep 21, 1999	Production	Yes	https://open.spotify.com/track/6ExsnJmWOLSzac53QM2z0Q?si=85a0ffbbbb3643f3
Before The College Dropout	The Madd Rapper - That's What's Happenin' (feat. Mase & Tracey Lee) (prod. Kanye West & D-Dot)	Track 5 of the 1999 album Tell Em Why U Madd. 	3:12	Sep 1, 1999	Production	Yes	https://open.spotify.com/track/2d3ghH4fRJZ7WFcw9Qo4ta?si=59568b3bd6a94375
Before The College Dropout	The Madd Rapper - Stir Crazy (feat. Eminem) (prod. Kanye West)	Track 9 of the 1999 album Tell Em Why U Madd. Also track 27 from Kanye West's 2003 mixtape I'm Good... Interpolates the song "Intro: A Million & One Questions / Rhyme No More" by JAY-Z.	3:12	Sep 21, 1999	Production	Yes	https://open.spotify.com/track/1UxQ8VEi0uMa8eLNpSmQnw?si=afc881112b194cd2
Before The College Dropout	The Madd Rapper - Ghetto (feat. Raekwon & Carl Thomas) (prod. Deric "D-Dot" Angelettie & Kanye West)	Track 11 of the 1999 album Tell Em Why U Madd. Also track 29 from Kanye West's 2002 mixtape Get Well Soon...	5:44	Sep 21, 1999	Production	Yes	https://open.spotify.com/track/1KmsFyNtC4EZV3pF9WTujr?si=26d704fc4d51452b
Before The College Dropout	The Madd Rapper - Too Many Ho's (feat. Jermaine Dupri & Lil' Cease) (prod. Deric "D-Dot" Angelettie & Kanye West)	Track 15 of the 1999 album Tell Em Why U Madd.	4:13	Sep 21, 1999	Production	Yes	https://open.spotify.com/track/432vNQyAjtibD45d4vDg3s?si=66d8a890296c4380
Before The College Dropout	The Madd Rapper - Not The One (feat. Oh! Ficial) (prod. Kanye West & No I.D.)	Track 17 of the 1999 album Tell Em Why U Madd.	4:14	Sep 21, 1999	Production	Yes	https://open.spotify.com/track/1nKQ55bEJpAQZ2FralaUu0?si=a97e37382b5e4fca
Before The College Dropout	Diddy - Fuck Ya'll Niggas (prod. Kanye West) (Guerrilla Monsoon Rap)	Released as a single in 1999. Written by S. Combs, D. Grant, K. West, S. McKenney and E. Reord. Samples the song "I Never Had It So Good (And Felt So Bad)" by Chi-Lites. Beat would later be reused by Talib Kweli for the song "Guerrilla Monsoon Rap".	4:22		Production	No	https://www.youtube.com/watch?v=vfiEm7W4rVc&ab_channel=CzUpLoso
Before The College Dropout	Goodie Mob - Rebuilding (prod. Deric "D-Dot" Angelettie & Kanye West)	Track 9 of the 1999 album World Party. Has mixing from Eric "IBO" Butler & Shane Stoneback. Engineered by Eric "IBO" Butler, Shane Stoneback & Bryant Bee Stanley. Written by D. Angelettie, R. Barnett, T. Burton, K. West, C. Gipp, W. Knighton & B. James.	4:38	Dec 21, 1999	Production	Yes	https://open.spotify.com/track/3HQssYxMCbGrr7qjgtdjAy?si=9dfe71eb05d6448d
Before The College Dropout	Beanie Sigel - The Truth (prod. Kanye West)	Track 1 of the 2000 album The Truth. Also track 30 from Kanye West's 2002 mixtape Get Well Soon... Mixed by Duro. Engineered by Pat Viala. Samples the song "Chicago" by Graham Nash. Also released as a single the same year.	4:09	Feb 29, 2000	Production	Yes	https://open.spotify.com/track/2037Ob3nwf6lnMCByEoTSB?si=781f604dd4c94fb0
Before The College Dropout	Dead Prez - It's Bigger Than Hip-Hop (feat. Tahir And Peoples Army) (prod. Kanye West)	Track 16 of the 2000 album Let's Get Free. Mixed by Christos Tsantilios. Features guitar from Bernard Grubman. Interpolates the song "Player's Anthem" by Junior M.A.F.I.A..	3:54	Mar 6, 2000	Production	Yes	https://open.spotify.com/track/7i2GCQ4FzXtNJSAnmOJBpv?si=6ebb8b221cfb46bd
Before The College Dropout	Da Brat - Chi-Town (prod. Kanye West)	Track 17 of the 2000 album Unrestricted.	4:06	Apr 11, 2000	Production	Yes	https://open.spotify.com/track/0slUtSzHvjj913eyM0tW03?si=24f730f1c4534fde
Before The College Dropout	Lil' Kim - Don't Mess with Me (prod. Kanye West & Deric "D-Dot" Angelettie) (Heartbreaker)	Track 12 of the 2000 album The Notorious K.I.M.. Also track 17 from Kanye West's 2003 mixtape I'm Good... Mixed by Rich Travali. Engineered by Stephen Dent. Written by Kanye West & Deric "D-Dot" Angelettie. Samples the song "Heartbreaker" by Pat Benatar. Interpolates the songs "Big Yellow Taxi" by Joni Mitchell & "Me & My Bitch" by The Notorious B.I.G..	4:48	Jun 26, 2000	Production	Yes	https://open.spotify.com/track/48hOGES9g7uu1oXhSOPQ1D?si=2c8c236770b74c02
Before The College Dropout	Jagged Edge - Let's Get Married (Reception Remix)  (feat. Kanye West & Jermaine Dupri) (prod. Kanye West)	Remix of the song "Let's Get Married" by Jagged Edge, made sometime in 2000. Interpolates the song "Do It Again (Put Ya Hands Up)" by JAY-Z. Uses the beat made by Kanye in 1999 titled "Fight With The Best".	3:50	Jul 4, 2000	Feature	Yes	https://open.spotify.com/track/2AA6d0gDLSXV0v7uZWRneb?si=e1f3ba7ed74e4ea5
Before The College Dropout	Rhymefest - Good Ass Job (feat. Kanye West & Mikkey Halsted) (prod. Kanye West)	Track 2 of the 2001 Rhymefest album Raw Dawg. Also track 7 from Rhymefest's 2004 mixtape Blue Collar Collection. Not Kanye's song.	3:45		Feature	No	https://pillows.su/f/71d0b5362f13dd2e2e9addc9e81d0628
Before The College Dropout	Payroll - Never Change (This Iz J Everyday) (prod. Kanye West)	Released in 2000, original version of JAY-Z's song of the same name.	4:11	Sep 10, 2000	Production	Yes	https://open.spotify.com/track/60SMJopnTZS30OMgRIsxLy
Before The College Dropout	Payroll - Live From The Chi (prod. Kanye West)	Track 5 of the 2000 album The Legendary: 747. Also track 7 of the 2001 album 125 - The Album. Produced by Kanye West.	4:15	Sep 10, 2000	Production	Yes	https://open.spotify.com/track/5xZakpPCNPGZGJpJblXIY4?si=24656db22f1649c0
Before The College Dropout	Payroll - Movin' ON (feat. Smiley & Tata) (prod. Kanye West)	Track 8 of the 2000 album The Legendary: 747. Also track 8 of the 2001 album 125 - The Album.	4:53	Sep 10, 2000	Production	Yes	https://open.spotify.com/track/3zKHaUUsi43EDgxm48wq4i?si=6663319f774b4c80
Before The College Dropout	Tracey Lee - City 2 City (prod. Kanye West)	Track 10 from Tracey Lee's shelved 2nd studio album Live From The 215. Release date is not the actual date, but the intended one seen on album samplers. Lee would self-release the album in 2013, before taking it down.	5:00	Oct 24, 2000	Production	No	https://www.youtube.com/watch?v=0sCl5ZqiYC4
Before The College Dropout	Tracey Lee - Catch 22 (prod. Chucky Thompson & Kanye West)	Track 14 from Tracey Lee's shelved 2nd studio album Live From The 215. Release date is not the actual date, but the intended one seen on album samplers. Lee would self-release the album in 2013, before taking it down.	5:15	Oct 24, 2000	Production	No	https://www.youtube.com/watch?v=2qUzJZ386YU
Before The College Dropout	JAY-Z - This Can't Be Life (feat. Beanie Sigel & Scarface) (prod. Kanye West)	Track 5 of the 2000 album The Dynasty - Roc La Familia 2000. Also track 31 from Kanye West's 2002 mixtape Get Well Soon... Mixed by Supa Engineer "DURO". Engineered by Chauncey Mahan. Samples the songs "Xxplosive" by Dr. Dre & "I Miss You" by Melvin & The Blue Notes.	4:48	Oct 31, 2000	Production	Yes	https://open.spotify.com/track/4UPyqSVCf0ukiBbi0MvLDW?si=3a28eff99e68400b
Before The College Dropout	Payroll - Intro (prod. Kanye West)	Track 1 of the 2001 album 125 - The Album. The beat was later reused for "More Or Less" by Shyne.	2:19		Production	No	https://www.youtube.com/watch?v=3xFMJL7pjT8&ab_channel=RhythmicRepository
Before The College Dropout	Abstract Mindstate - Pain (feat. Trizona) (prod. Kanye West)	Track 8 from their album, We Paid Let Us In.	4:28	Jun 12, 2001	Production	No	https://abstractmindstate.bandcamp.com/track/pain-feat-trizonna
Before The College Dropout	Beanie Sigel - Nothing Like It (prod. Kanye West)	Track 1 of the 2001 album The Reason. Also track 32 from Kanye West's 2002 mixtape Get Well Soon... Also track 15 from Kanye West's 2003 mixtape Akademiks (Jeanius Level Musik Vol 2). Mixed by Doug Wilson. Engineered by Kamel Abdo. 	3:22	Jun 26, 2001	Production	Yes	https://youtu.be/i9I2i6t_fIA
Before The College Dropout	Beanie Sigel - Gangsta, Gangsta (feat. Kurupt) (prod. Kanye West)	Track 10 of the 2001 album The Reason. Mixed by Doug Wilson & Kamel Abdo. Engineered by Kamel Abdo. Interpolates "Human Beat Box" by Fat Boys. Samples "Corazón" by Carole King and "Believe In Humanity" by Carole King.	3:41	Jun 26, 2001	Production	Yes	https://youtu.be/MWmuDuRDlfQ
Before The College Dropout	Geda K - Respect Carter (prod. Kanye West)	Released as a single sometime in August 2001. Samples the song "Love Hangover" by Diana Ross.	3:28		Production	Yes	https://open.spotify.com/track/4zUzB60ioP7bBQkjtXLBL9?si=7f0d7709e9e74c34
Before The College Dropout	JAY-Z - Izzo (H.O.V.A.) (feat. Demme Uloa) (prod. Kanye West)	Track 3 of the 2001 album The Blueprint. Released as a single less than a month before the album released. Mixed by Supa Engineer DURO. Engineered by Gimel "Young Guru" Keaton & Kamel Adbo. Samples the song "I Want You Back" by The Jackson 5. Interpolates the song "Flava in Ya Ear (Remix)" by Craig Mack.	4:03	Aug 21, 2001	Production	Yes	https://open.spotify.com/track/4h5KBcltGefua73AUPYps7 https://www.universal-music.de/jayz/videos/izzo-h-o-v-a-89768
Before The College Dropout	JAY-Z - Takeover (feat. Josey Scott) (prod. Kanye West)	Track 2 of the 2001 album The Blueprint. Mixed by Gimel "Young Guru" Keaton. Engineered by Gimel "Young Guru" Keaton & Kamel Adbo. Samples the songs "Five to One" by The Doors & "Sound of da Police" by KRS-One. Interpolates the songs "Celebration" by JAY-Z, "Cash Money Is An Army" by B.G., "Oochie Wally (Remix)" by Nas & Bravehearts, "The Watcher" by Dr. Dre & "Fame" by David Bowie.	5:16	Sep 11, 2001	Production	Yes	https://open.spotify.com/track/135lkyQRwFlWfmHjJTxtld
Before The College Dropout	JAY-Z - Heart Of The City (Ain't No Love) (feat. Keon Bryce) (prod. Kanye West)	Track 7 of the 2001 album The Blueprint. Also released as a single in 2003. Mixed by Supa Engineer DURO. Engineered by Gimel "Young Guru" Keaton & Kamel Adbo. Samples the song "Ain't No Love In The Heart Of The City" by Bobby "Blue" Bland.	3:43	Sep 11, 2001	Production	Yes	https://open.spotify.com/track/6gpZSI0xEMTzleBc5ykOVA
Before The College Dropout	JAY-Z - Never Change (feat. Kanye West) (prod. Kanye West)	Track 8 of the 2001 album The Blueprint. Also track 35 from Kanye West's 2002 mixtape Get Well Soon... Mixed by Jason Goldstein. Engineered by Gimel "Young Guru" Keaton & Kamel Adbo. Samples the song "Common Man" by David Ruffin.	4:00	Sep 11, 2001	Feature	Yes	https://open.spotify.com/track/1ygITaWckccPnbVE2nadrz
Before The College Dropout	JAY-Z - Girls, Girls, Girls (Part 2) (feat. Michael Jackson & Chanté Moore) (prod. Kanye West)	Track 15 of the 2001 album The Blueprint. Mixed & engineered by Gimel "Young Guru" Keaton. Samples the song "Trying Girls Out" by Persuaders. Interpolates the songs "Queen Bitch" by Lil' Kim & "One More Chance / Stay With Me (Remix)" by The Notorious B.I.G..	4:16	Sep 11, 2001	Production	Yes	https://open.spotify.com/track/6Mtt0rvg195HXHEJU3LeMr
Before The College Dropout	Jermaine Dupri - Definition Of A Pimp (prod. Kanye West)	Japan bonus track off Instructions. Features production from Kanye.	3:13	Oct 1, 2001	Production	No	https://youtu.be/gQ0bEkgl5Ao
Before The College Dropout	E.C Illa - Strugglin'  (prod. Kanye West)	Track 8 from E.C Illa's 2004 compilation album Underground Classics. Noted on the tracklist on the back of the CD to be originally from 2002.	2:38		Production	Yes	https://open.spotify.com/track/6KF93fQFGUquDGjptDal27?si=03a83a96141d4b52
Before The College Dropout	E.C Illa - Mask & A Pump  (prod. Kanye West)	Track 9 from E.C Illa's 2004 compilation album Underground Classics. Noted on the tracklist on the back of the CD to be originally from 2002. 	3:44		Production	Yes	https://open.spotify.com/track/5jaL4t1xyqn0N6zOFZXAiu?si=876a4e40bded441a
Before The College Dropout	Mikkey Halsted - Superstar (prod. Kanye West)	From Mikkey's 2002 Mixtape Unkrowned City.	3:30		Production	No	https://www.youtube.com/watch?v=adBWAUIbFGk
Before The College Dropout	Knoc-turn'al - Muzik (feat. Samuel Christian) (prod. Kanye West)	Released on Knoc-turn'al's 2002 mixtape L.A. Confidential Presents... Knoc-turn'al. Also track 21 from Kanye West's 2003 mixtape I'm Good...	3:33	Jan 1, 2002	Production	Yes	https://open.spotify.com/track/72vhmzioLB9DtiUkRSr39J?si=5e3ed352b57b4721
Before The College Dropout	Beanie Sigel & Freeway - Got Nowhere (feat. Kanye West) (prod. Kanye West)	Track 11 from the soundtrack to the 2002 movie State Property. Also track 20 from Kanye West's 2002 mixtape Get Well Soon... Samples the song "Nowhere To Go" by The Miracles.	4:00	Jan 29, 2002	Production	Yes	https://open.spotify.com/track/0HsDxCe6dtzJ4oG0Soowkz
Before The College Dropout	Scarface - Guess Who's Back (feat. JAY-Z, Beanie Sigel & Kanye West) (prod. Kanye West)	Track 4 of the 2002 album The Fix. Also track 10 on Scarface's Greatest Hits album from 2002. Released as a single about 3-4 months before that. Mixed by MIKE DEAN. Engineered by Gimel "Young Guru" Keaton. Samples the songs "Hey Young World" by Slick Rick & "Xxplosive" by Dr. Dre.	4:15	Apr 30, 2002	Feature	Yes	https://open.spotify.com/track/2cLVB8Mc5Ug8VUpq3XvaHn
Before The College Dropout	Cam'ron - Dead Or Alive (feat. Jim Jones) (prod. Kanye West)	Track 12 of the 2002 album Come Home With Me. Also track 18 from Kanye West's 2002 mixtape Get Well Soon... Mixed & engineered by Eric "Ibo" Butler. Samples the song "Lazarus" by Buffy Sainte-Marie.	4:07	May 14, 2002	Production	Yes	https://open.spotify.com/track/1ZJZdEIAyAONYUxIssTV0G
Before The College Dropout	Lady May - Didn't Mean 2 Turn U On (feat. Cheri Dennis) (prod. Kanye West & Deric "D-Dot" Angeletie)	Track 10 from Lady May's debut album May Day. Was originally intended to release May 21st, 2002, but was eventually shelved after multiple delays, due to poor reception from it's single "Round Up". Was put on Spotify on August 29th, 2023 with no notice/promotion, before eventually being taken down. Track features writing and production from Ye.	4:49	May 21, 2002	Production	No	https://www.youtube.com/watch?v=u8B-LwkzDUM
Before The College Dropout	Lady May - Hard 2 Get 2 (prod. Kanye West)	Track 12 from Lady May's debut album May Day. Was originally intended to release May 21st, 2002, but was eventually shelved after multiple delays, due to poor reception from it's single "Round Up". Was put on Spotify on August 29th, 2023 with no notice/promotion, before eventually being taken down. Track features writing and production from Ye.	4:56	May 21, 2002	Production	No	https://www.youtube.com/watch?v=0E8KJ-bm8Nc
Before The College Dropout	Scarface - In Cold Blood (prod. Kanye West)	Track 3 of the 2002 album The Fix. Also track 25 from Kanye West's 2002 mixtape Get Well Soon... Also track 19 from Kanye West's 2002 mixtape Akademiks (Jeanius Level Musik). Engineered by Craig Smith, Jamie Garcia & Tommy Uzzo.	3:21	Aug 6, 2002	Production	Yes	https://open.spotify.com/track/2MV5ZXr8GiueHUCp8rmfPg
Before The College Dropout	Scarface - Heaven (feat. Kelly Price) (prod. Kanye West & T. Mix)	Track 11 of the 2002 album The Fix. Also track 24 from Kanye West's 2002 mixtape Get Well Soon... Engineered by T. Mix, Tommy Uzo, Josh Butler, Bruno Sutter & Chris Testa.	3:14	Aug 6, 2002	Production	Yes	https://open.spotify.com/track/78dHzFhyAi4cF9bz54y7nB
43 Album Track(s) 8 Single(s) 36 Feature(s) 69 Production 12 Other	The College Dropout (I'm Good)	(08/18/2002) (Kanye announces he signed to Roc-A-Fella) (02/10/2004) (The College Dropout officially releases)			Following his signing to Roc-A-Fella Records, Kanye released his debut studio album, The College Dropout. It features string arrangements, choirs, and his signature soul sampling, frequently branded as "chipmunk soul" for its sped-up and high-pitched nature. Contrary to the popular gangster-persona lyrics at the time, his songs mostly revolved around themes of family, materialism, religion, and racism. The inspiration for finally making his music came when he was in a near-fatal car crash.		
The College Dropout	Trina - B R Right (feat. Ludacris) (prod. Kanye West)	Track 5 of the 2002 album Diamond Princess. Also track 14 from Kanye West's 2002 mixtape Get Well Soon... Also track 21 from Kanye West's 2002 Akademiks (Jeanius Level Musik). Mixed by Manny Marroquin. Engineered by Ray Seay. Interpolates the song "Big Pimpin'" by JAY-Z.	4:22	Aug 27, 2002	Production	Yes	https://open.spotify.com/track/7iKXO3oCFiiZRniwAJaGa4
The College Dropout	Mos Def - Brown Sugar (Fine) (prod. Kanye West) (Brown Sugar)	Track 14 from the soundtrack to the 2002 movie Brown Sugar. Also track 15 from Kanye West's 2002 mixtape Get Well Soon... Also track 13 from Kanye West's 2003 mixtape Akademiks (Jeanius Level Musik Vol 2). Samples the song "Invitation" by Norman Connors.	3:32	Sep 24, 2002	Production	No	https://pillows.su/f/862fa8183e99e47c5c9f1ba65bb7f844
The College Dropout	Nas - Poppa Was a Playa (prod. Kanye West & Deric "D-Dot" Angelettie)	Track 11 of the 2002 album The Lost Tapes. Also track 21 from Kanye West's 2002 mixtape Get Well Soon... Samples the song "The Newness Is Gone" by Eddie Kendricks.	3:44	Sep 22, 2002	Production	Yes	https://open.spotify.com/track/4ksRwIt4WVW98orafdfjXJ
