Era	Name	Notes (Join the Discord to help fix any issues + help with dead links)	File Date	Leak Date	Full Length	BPM	Available Length	Quality	Link(s)
Before The College Dropout	Beat 8 (prod. Kanye West)	Track 8 from the September 1997 demo beat tape. Samples the song "Just Memories" by Eddie Kendricks.			3:07	91	Full	High Quality	https://pillows.su/f/6c039a593ddd7504fecd45bac80469c7
Before The College Dropout	Heartbeat (prod. Kanye West)	Used unofficially by Royce Da 5'9" on his track "Heartbeat". Track 15 on the 2001 demo tape, as a bonus track.			3:17	86	Full	Low Quality	https://pillows.su/f/28ce0451b11e49a14a5536ad48fa40b8
Before The College Dropout	Payback (prod. Kanye West)	Instrumental for "Payback" found on Hype Men Presents: Kanye's First Beats.			3:58	84	Full	CD Quality	https://pillows.su/f/2420300635a9bb373377002719277951
Before The College Dropout	??? (prod. Kanye West) (600)	Earlier version of the instrumental for the Boo & Gotti song "600" found on Hype Men Presents: Kanye's First Beats.			3:30	99	Full	CD Quality	https://pillows.su/f/0e2a7475332ffec9564029b13cb13162
Before The College Dropout	??? (prod. Kanye West) (I Swear)	Earlier version of the instrumental for the Petey Pablo song "I Swear" found on Hype Men Presents: Kanye's First Beats.			1:53	96	Full	CD Quality	https://pillows.su/f/17c707d3adddf955b655de01d7589aa2
Before The College Dropout	??? (prod. Kanye West) (Let's Get Lifted)	Earlier version of the instrumental for the John Legend song "Let's Get Lifted" found on Hype Men Presents: Kanye's First Beats.			1:51	87	Full	CD Quality	https://pillows.su/f/88890af7ab4e127016df9b3734e79feb
Before The College Dropout	??? (prod. Kanye West) (What Can I Do)	Earlier version of the instrumental for the Shawnna song "What Can I Do" found on Hype Men Presents: Kanye's First Beats.			1:39	114	Full	CD Quality	https://pillows.su/f/996954c13723296936186362675eb0e2
Before The College Dropout	Beanie Sigel - Gangsta, Gangsta (prod. Kanye West)	Instrumental for "Gangsta, Gangsta" by Beanie Sigel from the Behind The Beats CD.			2:36	89	Full	High Quality	https://pillows.su/f/c25ef8e3a2f1ad2debdbbb67c5b27ef9
Before The College Dropout	Beanie Sigel - Nothing Like It (prod. Kanye West)	Instrumental for "Nothing Like It" by Beanie Sigel from the Behind The Beats CD.			1:40	85	Full	High Quality	https://pillows.su/f/b5ede33230b09b81ce33f86f1633f761
Before The College Dropout	Beanie Sigel - The Truth (prod. Kanye West)	Instrumental for "The Truth" by Beanie Sigel from the Behind The Beats CD.			2:34	82	Full	High Quality	https://pillows.su/f/77800ad80d86a138f0e00ed1f6800105
Before The College Dropout	Beanie Sigel & Freeway - Got Nowhere (prod. Kanye West)	Instrumental for "Got Nowhere" by Beanie Sigel & Freeway found on Hype Men Presents: Kanye's First Beats.			3:14	87	Full	CD Quality	https://pillows.su/f/d0c0fb7fdc6dd5908750dd5fa254686f
Before The College Dropout	Cam'ron - Dead Or Alive (prod. Kanye West)	Instrumental for "Dead Or Alive" by Cam'ron from the Behind The Beats CD.			2:30	80	Full	High Quality	https://pillows.su/f/c4e01d8540cbb94bc43f136c703c2fb3
Before The College Dropout	Consequence - The Good, The Bad, The Ugly (prod. Freeway)	Beat for an early Consequence song called "The Good, The Bad, The Ugly" that Kanye would later record on.			4:02	85	Full	Low Quality	https://www.youtube.com/watch?v=sA3TpJzsFHc
Before The College Dropout	Diddy - Fuck Ya'll Niggas (prod. Kanye West)	Instrumental for "Fuck Ya'll Niggas by Diddy found on Hype Men Presents: Kanye's First Beats. Also used for "Guerrilla Monsoon Rap" by Talib Kweli.			3:11	91	Full	CD Quality	https://pillows.su/f/628b06605b91f37287215c1a35f4a2f0
Before The College Dropout	Foxy Brown - My Life (prod. Deric "D-Dot" Angelettie & Kanye West)	Instrumental for "My Life" by Foxy Brown from the Behind The Beats CD.			1:24	95	Full	High Quality	https://pillows.su/f/e60184f069f5b519ccfba7e134059658
Before The College Dropout	Geda K - Respect Carter (prod. Kanye West)	Instrumental for "Respect Carter" by Geda K found on Hype Men Presents: Kanye's First Beats.			1:35	100	Full	CD Quality	https://pillows.su/f/d40e91812ea4d64aebb7b53c23a0908b
Before The College Dropout	Harlem World - You Made Me (prod. Kanye West)	Instrumental for "You Made Me" by Harlem World from the Behind The Beats CD.			1:14	95	Full	High Quality	https://pillows.su/f/1e87cd8f2dac10b6a839cfd1d562d28c
Before The College Dropout	Infamous Syndicate - What You Do To Me (feat. Frank Williams, Jr. & Kanye West)	Partial instrumental for "What You Do To Me" however a lot of the vocals are unmuted. Censored.			5:03	94	Partial	CD Quality	https://pillows.su/f/a00fa7ed92059db73b6cef42bfe4ed76
Before The College Dropout	JAY-Z - Heart Of The City (Ain't No Love) (prod. Kanye West)	Instrumental for "Heart Of The City (Ain't No Love)" by JAY-Z from the Behind The Beats CD.			2:24	85	Full	High Quality	https://pillows.su/f/b8ba586f980d209507626a79c5d7d553
Before The College Dropout	JAY-Z - Izzo (H.O.V.A.) (prod. Kanye West)	Instrumental for "Izzo (H.O.V.A.)" by JAY-Z from the Behind The Beats CD.			1:31	87	Full	High Quality	https://pillows.su/f/9ee009f1f98e3fda81a020d41d5979dd
Before The College Dropout	JAY-Z - Never Change (prod. Kanye West)	Instrumental for "Never Change" by JAY-Z from the Behind The Beats CD.			2:34	85	Full	High Quality	https://pillows.su/f/6c926aabfc90be9118a3fa5ff4b2e190
Before The College Dropout	JAY-Z - Takeover (prod. Kanye West)	Instrumental for "Takeover" by JAY-Z from the Behind The Beats CD.			4:03	86	Full	High Quality	https://pillows.su/f/c921e1727dfcd388f27d7c4ad76b2622
Before The College Dropout	JAY-Z - This Can't Be Life (prod. Kanye West)	Instrumental for "This Can't Be Life" by JAY-Z from the Behind The Beats CD.			2:28	84	Full	High Quality	https://pillows.su/f/fb08e4053ed299bf7a65d0920f5a41f1
Before The College Dropout	Lupe Fiasco - Birds & The Bees (prod. Kanye West) (Beat 6)	Instrumental for "Birds & The Bees". Also used for "Nobody Loves Me".			4:03	88	Full	CD Quality	https://pillows.su/f/05fd6954966f750a4e5224bf8c2348b7
Before The College Dropout	Mystic - Breathe (Better Days) (feat. Donnell Jones) (prod. Kanye West)	Instrumental for "Breathe (Better Days)" by Mystic.				96	Full	High Quality	Link Needed
Before The College Dropout	Scarface - Guess Who's Back (prod. Kanye West)	Offical instrumental for "Guess Who's Back" by Scarface.			3:56	86	Full	High Quality	https://pillows.su/f/80e8094dda7db2131fe55510e0f1a751
Before The College Dropout	Scarface - In Cold Blood (prod. Kanye West)	Instrumental for "In Cold Blood" by JAY-Z from the Behind The Beats CD.			1:47	83	Full	High Quality	https://pillows.su/f/0c9842761647bbcb56aae2cd1ae231ae
	The College Dropout (I'm Good)	(08/18/2002) (Kanye announces he signed to Roc-A-Fella) (02/10/2004) (The College Dropout officially releases)			Following his signing to Roc-A-Fella Records, Kanye released his debut studio album, The College Dropout. It features string arrangements, choirs, and his signature soul sampling, frequently branded as "chipmunk soul" for its sped-up and high-pitched nature. Contrary to the popular gangster-persona lyrics at the time, his songs mostly revolved around themes of family, materialism, religion, and racism. The inspiration for finally making his music came when he was in a near-fatal car crash.				
	Studio Stems								
The College Dropout	Jesus Walks (feat. John Legend) (prod. Kanye West)	Snippet of full stems to "Jesus Walks", snippet leaked on December 22nd, 2022. Owned by Saya.			3:13	87.4	Snippet	Lossless	https://pillows.su/f/5461e323bb0bc0b18035349139496941
The College Dropout	Jesus Walks (feat. John Legend) (prod. Kanye West)	Early multitrack stems for "Jesus Walks". Snippet posted 3/5/24.				87.4	Snippet	Lossless	https://pillows.su/f/363df346c987c1fd765ec72626a36865
	Acapellas								
The College Dropout	All Falls Down (feat. Syleena Johnson)	Official acapella for "All Falls Down".			3:32	90.3	Full	CD Quality	https://pillows.su/f/0ad85c46cfaf20480f468ade3d52b47d
The College Dropout	Get Em High (feat. Talib Kweli & Common)	Official acapella for "Get Em High".			4:50	85	Full	CD Quality	https://pillows.su/f/6b358a841e399055906bc4953af3bad8
The College Dropout	Heavy Hitters (feat. GLC)	Official acapella for "Heavy Hitters".			4:06	87	Full	High Quality	https://pillows.su/f/a8674b7bf26674f30f293a2b504a5ec3
The College Dropout	Jesus Walks (feat. John Legend) 	Official acapella for "Jesus Walks". Missing spoken intro		Aug 24, 2022	3:15	87.4	OG File	Lossless	https://pillows.su/f/10042cc3fb47150d1973c7d912a9c007
The College Dropout	Jesus Walks (feat. John Legend) 	Official acapella for "Jesus Walks". Vinyl rip, but contains the spoken intro.			4:55	87.4	Full	High Quality	https://pillows.su/f/c602eae3374c0d9ab4282045371e6d9a
The College Dropout	Jesus Walks (Remix) (feat. Mase & Common)	Leaked acapella for the official remix of "Jesus Walks".			3:51	87.4	Full	High Quality	https://pillows.su/f/2b68cb225465437a81cf973754c107ab
The College Dropout	The New Workout Plan	Official acapella for "The New Workout Plan".			5:27	118	Full	Lossless	https://pillows.su/f/5cd3af9bb83173ab5d6317660a4c4e54
The College Dropout	Through The Wire	Official acapella for "Through The Wire". All spoken word bits are cut.			2:02	83	Full	High Quality	https://pillows.su/f/c75d7df6b043a3c319413b9edd214171
The College Dropout	Two Words (feat. Mos Def, Freeway & The Boys Choir of Harlem)	Official acapella for "Two Words". All spoken word bits are cut.			3:38	85.1	Full	High Quality	https://pillows.su/f/a7e007e49fec13d31e79c5b609d77ca7
The College Dropout	Brandy - Talk About Our Love (feat. Kanye West)	Official acapella for "Talk About Our Love" by Brandy.			3:35	101	Full	High Quality	https://pillows.su/f/c1fbdca810afe8ec67fde880f32a7aea
The College Dropout	Dilated Peoples - This Way (feat. Kanye West)	Official acapella for "This Way" by Dilated Peoples.			3:57	86	Full	CD Quality	https://pillows.su/f/689bc714a666356cb2bec3e40e529634
The College Dropout	JAY-Z - Encore (feat. Kanye West, Don Crawley, John Legend & GLC) (prod. Kanye West)	Official acapella for "Encore" by JAY-Z.			3:31	99	Full	Lossless	https://pillows.su/f/00c99ea4c1d4d1252738819195c65ef9
The College Dropout	JAY-Z - Lucifer	Official acapella for "Lucifer" by JAY-Z. Produced by Kanye.			3:13	171	Full	Lossless	https://pillows.su/f/23b215925f4702423617c49410e4f782
The College Dropout	JAY-Z - The Bounce (feat. Kanye West)	Official acapella for "The Bounce" by JAY-Z.			3:34	95	Full	High Quality	https://pillows.su/f/bf23391ff1c2e4d66d53ced831dfc18a
The College Dropout	Malik Yusef - Wouldn't You Like To... (feat. Kanye West & Common) (Wouldn't You Like To Ride)	Official acapella for "Wouldn't You Like To..." by Malik Yusef.			3:45	126	Full	CD Quality	https://pillows.su/f/7377de3380a76cea8841c16fe197eab3
The College Dropout	Marc Spitz - No More For Me (feat. Kanye West)	A recording of Kanye performing his verse from the Marc Spitz song "No More For Me" acapella. Featured in a collection called "The Best Of Kanye West Vol. 3" and is Track 21.			1:00	87	Full	High Quality	https://pillows.su/f/60c464252cb13e467528503b54e241f8
The College Dropout	Slum Village - Selfish (feat. Kanye West & John Legend)	Official acapella for "Selfish" by Slum Village.			3:45	96	Full	CD Quality	https://pillows.su/f/9d320a0ca262bb101028973b43ad1059
The College Dropout	Twista - Overnight Celebrity (feat. Kanye West)	Official acapella for "Overnight Celebrity" by Twista.			3:39	134	Full	CD Quality	https://pillows.su/f/87fd140de137df4baaa3be5a05cb12b2
The College Dropout	USHER - Confessions Pt. II (Remix) (feat. Kanye West, Shyne & Twista)	Official acapella for the remix of "Confessions, Pt. II" by USHER.			4:24	138	Full	High Quality	https://pillows.su/f/f5ccfcfd28388179f275e29c5e585d85
The College Dropout	White Boy - U Know (feat. Kanye West & John Legend)	Official acapella for "U Know" by White Boy. Clean.			4:03	69	Full	CD Quality	https://pillows.su/f/b40e06825e3cbbf0c64ac7a95e5ad718
	Instrumentals								
The College Dropout	All Falls Down (prod. Kanye West)	Official instrumental for "All Falls Down". Vinyl rip.			3:41	90.3	Full	Lossless	https://pillows.su/f/5746cf3b2aac137afdb5895eb148c7dc
The College Dropout	Breathe In, Breathe Out (prod. Kanye West)	Official instrumental for "Breathe In, Breathe Out". Vinyl rip.			4:09	90	Full	Lossless	https://pillows.su/f/12ba2210ab01148a75f7b94c8368da84
The College Dropout	Family Business (prod. Kanye West)	Official instrumental for "Family Business". Vinyl rip.			4:41	93.7	Full	Lossless	https://pillows.su/f/060d7f347443d85b35cc218d75cd92b0
The College Dropout	Get Em High (prod. Kanye West)	Official instrumental for "Get Em High". Vinyl rip.			4:51	85	Full	Lossless	https://pillows.su/f/030436c5b42bf2ca9ba3259757798f0e
The College Dropout	Improvise (prod. Kanye West)	2002 instrumental loop used in sessions for The College Dropout. Later sampled in songs by artists such as J. Cole, A$AP Rocky, and Tyler, The Creator. Also used in Monica's 2003 song "Knock Knock", with co-production from Missy Elliot.			2:31	91	Tagged	High Quality	https://pillows.su/f/a6efb42d948e7e7c120276c8f7c92c7b
The College Dropout	Jesus Walks (prod. Kanye West)	Leaked official instrumental for "Jesus Walks".		Aug 24, 2022	3:15	87.4	OG File	Lossless	https://pillows.su/f/3599493870bea2851c35b80709864f8f
The College Dropout	Jesus Walks (prod. Kanye West)	Official instrumental for "Jesus Walks". Vinyl rip.			3:18	87.4	Full	Lossless	https://pillows.su/f/7c39caf699fb846f188f1577d47c9308
The College Dropout	Last Call (prod. Kanye West)	Official instrumental for "Last Call". Fades out after 4 minutes. Vinyl rip.			4:28	87.9	Partial	Lossless	https://pillows.su/f/515e59301456f6dc2b533c7a00072b76
The College Dropout	Never Let Me Down (prod. Kanye West)	Official instrumental for "Never Let Me Down". Vinyl rip.			5:28	80	Full	Lossless	https://pillows.su/f/5208a75fbe9fff41e730f9657e0ae103
The College Dropout	School Spirit (prod. Kanye West)	Official instrumental for "School Spirit". Vinyl rip.			3:08	87.8	Full	Lossless	https://pillows.su/f/90cb35bb8fd1d8fa090a306abe862ee8
The College Dropout	Slow Jamz (prod. Kanye West & AllDay)	Official instrumental for "Slow Jamz". Vinyl rip.			4:55	145.3	Full	Lossless	https://pillows.su/f/6dcd511c51b4aa23eb704f202bfb8adc
The College Dropout	Spaceship (prod. Kanye West)	Official instrumental for "Spaceship". Vinyl rip.			5:26	89.1	Full	Lossless	https://pillows.su/f/f4c2adfe8a6693c768680b35fd590fad
The College Dropout	The New Workout Plan (prod. Kanye West)	Official instrumental for "The New Workout Plan". Vinyl rip.			5:22	118	Full	Lossless	https://pillows.su/f/19fb3d43cf8309aefc089d67a56d6d8d
The College Dropout	Through The Wire (prod. Kanye West)	Official instrumental for "Through The Wire". Vinyl rip.			3:44	83	Full	Lossless	https://pillows.su/f/c64ff88282c6737f7cd66c32bbb96c0f
The College Dropout	Two Words (prod. Kanye West) (2 Words)	Official instrumental for "Two Words". Vinyl rip.			4:27	85.1	Full	Lossless	Link Needed
The College Dropout	Two Words (prod. Kanye West) (2 Words)	Instrumental for "Two Words" from the Behind The Beats CD. Similar to release, but stripped down, and is missing all the orchestral elements.			3:21	85.1	Full	High Quality	https://pillows.su/f/bcc32d630421c33895e9a6bcf59f40f1
The College Dropout	We Don't Care (prod. Kanye West) (Drug Dealin')	Official instrumental for "We Don't Care". Vinyl rip.			4:03	83.2	Full	Lossless	https://pillows.su/f/1f88755f7a465106b227035fc279521f
The College Dropout	Whole Lifetime (Peace)	Official instrumental for "Whole Lifetime"			2:08	84	Full	High Quality	https://pillows.su/f/4ff1645d13164acea66663115552d6b7
The College Dropout	??? (Can't Nobody, Knick Inna Optik, The Beginning)	Used on an early The College Dropout copy as the intro. Samples the song "Can't Nobody Love Me Like You Do" by The Masquerders. Beat was later given to rappers Sentino and Gravy before finally ending up with Apathy.			3:54	88	Full	CD Quality	https://pillows.su/f/1eaf5f7ddf2128a4dd4e5afc03435106
The College Dropout	Alicia Keys - You Don't Know My Name (prod. Kanye West)	Official instrumental for "You Don't Know My Name" by Alicia Keys.			6:09	167	Full	High Quality	https://pillows.su/f/d3f2b83811f427f2cf7233f02eb78595
The College Dropout	Brandy - Talk About Our Love (prod. Kanye West)	Official instrumental for "Talk About Our Love" by Brandy.			3:33	101	Full	CD Quality	https://pillows.su/f/7e0d9d2e3e81ade312835aa941286389
The College Dropout	Dame Dash, Kanye West, Beanie Sigel, Cam'ron, Young Chris & Twista - Champions (prod. Dame Dash & Kanye West)	Instrumental for "Champions" from the Behind The Beats CD.			3:57	76	Full	High Quality	https://pillows.su/f/c5d33f32179fb1f74c65b2db6186d7a9
The College Dropout	Hot Karl - Armand Assante (prod. Kanye West)	Official instrumental for "Armand Assante" by Hot Karl.			3:13	100	Full	CD Quality	https://open.spotify.com/track/7D6PaRc37JQALrMamQMJvP?si=28090d71bc864d34
The College Dropout	Hot Karl - Blao! (Celph Titled Mix)	Official instrumental for "Blao! (Celph Titled Mix)" by Hot Karl.			4:15	95	Full	CD Quality	https://open.spotify.com/track/1q40rNUN9JJcFJyMt51shu?si=7cd7b882e5dc495d
The College Dropout	Hot Karl - Blao! (Og Mix)	Official instrumental for "Blao! (Og Mix)" by Hot Karl.			4:13	190	Full	CD Quality	https://open.spotify.com/track/6rexCEGpT51vPXB4xhlP3p?si=67e0faa6ba4e4f03
The College Dropout	JAY-Z - 03' Bonnie & Clyde (prod. Kanye West)	Instrumental for "03' Bonnie & Clyde" by JAY-Z from the Behind The Beats CD.			1:57	89	Full	High Quality	https://pillows.su/f/e8f7ec3e1e17df77afde711a60977cf8
The College Dropout	JAY-Z - A Dream (prod. Kanye West & Just Blaze)	Instrumental for "A Dream" by JAY-Z from the Behind The Beats CD.			3:12	86	Full	High Quality	https://pillows.su/f/b4010c74537575ac02bcd8c5827f5b1d
The College Dropout	JAY-Z - Poppin' Tags (prod. Kanye West)	Instrumental for "Poppin' Tags" by JAY-Z from the Behind The Beats CD.			2:22	73	Full	High Quality	https://pillows.su/f/a79715c32661b66787256756ebc4bb64
The College Dropout	JAY-Z - Some People Hate (prod. Kanye West)	Instrumental for "Some People Hate" by JAY-Z from the Behind The Beats CD.			2:21	61	Full	High Quality	https://pillows.su/f/4352a624155bfb0ff62b8c37b57a88b9
The College Dropout	Lil' Kim - Came Back For You (prod. Kanye West)	Instrumental for "Came Back For You" by Lil' Kim from the Behind The Beats CD.			2:29	87	Full	High Quality	https://pillows.su/f/8a50bc807e8354e79a4c458c564ae9b5
The College Dropout	Monica - Knock Knock (prod. Kanye West & Missy Elliott)	Official instrumental for "Knock Knock" by Monica.			4:18	89	Full	Lossless	https://pillows.su/f/ce2797b3a91441c4ee8afd144f39e470
The College Dropout	Mos Def - Brown Sugar (Fine) (prod. Kanye West)	Instrumental for "Brown Sugar (Fine)" by Mos Def from the Behind The Beats CD.			1:06	97	Full	High Quality	https://pillows.su/f/5941b0e194f0b0d15a5e7a80be8b53a6
The College Dropout	Rhymefest - Stalker	Instrumental for "Stalker" by Rhymefest found on Hype Men Presents: Kanye's First Beats.			1:16	94	Full	CD Quality	https://pillows.su/f/e9a213b1da0c497bbfd54b09095b8886
The College Dropout	Talib Kweli - Get By (prod. Kanye West)	Official instrumental for "Get By" by Talib Kweli.			3:47	91	Full	Lossless	https://pillows.su/f/823959c4c3d5f47f7d0ba85e8172aa51
The College Dropout	Talib Kweli - Good To You (prod. Kanye West)	Instrumental for "Good To You" by Talib Kweli from the Behind The Beats CD.			2:22	87	Full	High Quality	https://pillows.su/f/bfaa94c50c7b238937062ae896fd8d1b
The College Dropout	Trina - B R Right                   (prod. Kanye West)	Official instrumental for "B R Right" by Trina.			4:02	136	Full	Lossless	https://pillows.su/f/de5ca5e2f60ead213707c2809fcf8448
The College Dropout	Twista - Overnight Celebrity (feat. Kanye West)	Official instrumental for "Overnight Celebrity" by Twista.			3:55	134	Full	CD Quality	https://pillows.su/f/e1c45bd971a8e0a6078b9846d8b5b587
The College Dropout	White Boy - U Know	Official instrumental for "U Know" by White Boy.			4:05	69	Full	Lossless	https://pillows.su/f/f0691998016490181cde3fdd1ab02777
	Late Registration	(02/10/2004) (The College Dropout officially releases) (08/30/2005) (Late Registration officially releases)			Late Registration continues the social themes introduced in The College Dropout, but now with orchestral production influenced by co-producer Jon Brion. Kanye's newfound success allowed him to expand his ambitions from a single violinist to an entire string orchestra. Lyrically, the album features a mix of more socially charged songs to more personal cuts. Production-wise, inspiration came from artists such as British trip-hop band Portishead and Fiona Apple's second album When The Pawn…				
	Studio Stems								
Late Registration	Diamonds From Sierra Leone (prod. Kanye West, Jon Brion & Devo Springsteen)	Official explicit & clean stems for "Diamonds From Sierra Leone". ProTools session files however it has no raw recordings, just stems and a few bounces. From 03.21.08, for some unknown reason. Original snippet leaked December 23rd, 2024.	Mar 21, 2008	Feb 25, 2025	4:04	97.1	OG File	Lossless	https://pixeldrain.com/u/qU7ubFPh
	Acapellas								
Late Registration	Diamonds From Sierra Leone	Official acapella for "Diamonds From Sierra Leone".			3:18	97.1	Full	CD Quality	https://pillows.su/f/6ff721b61bc2764d8c906ee45e74e94e
Late Registration	Gold Digger (feat. Jamie Foxx)	OG Filename: Gold Digger Aca L Official acapella for the explicit version of "Gold Digger". Only the left part.	Oct 20, 2005		3:31	92.5	OG File	Lossless	https://pillows.su/f/276065163f7eec707edf085b1c7772b6
Late Registration	Heard 'Em Say (feat. Adam Levine & The WRLDFMS Tony Williams)	Acapella for "Heard 'Em Say". Unknown as to why it's almost a minute and a half shorter than the released version, though it may be for a TV Track.			2:01	95.1	OG File	Lossless	https://pillows.su/f/8cff79b67c25a4b6938fd62250f87332
Late Registration	Touch The Sky (feat. Lupe Fiasco)	Official acapella for "Touch The Sky".			3:56	106.8	Full	CD Quality	https://pillows.su/f/33543bb990440552afebea1bb0067fde
Late Registration	We Major (feat. Nas & Really Doe)	Leaked acapella for "We Major". Features all verses, but stops after 5 minutes.			4:48	85.49	Partial	CD Quality	https://pillows.su/f/c29e2e8bf7ada56230f8890a0f919b7f
Late Registration	Common - The Corner (feat. Kanye West) (prod. Kanye West)	Official acapella for "The Corner" by Common.			3:34	156	Full	CD Quality	https://open.spotify.com/track/4MuK3GlXoKkVioicS1qbgf Lossless Needed
Late Registration	Do Or Die - Higher (feat. Kanye West)	Official acapella for "Higher" by Do Or Die. Only found in LQ.			3:14	75	Full	High Quality	https://pillows.su/f/4016bcedda168ee99556934791dba208
Late Registration	John Legend - Number One (feat. Kanye West)	Official acapella for "Number One" by John Legend.			2:41	88	Full	CD Quality	https://pillows.su/f/ac5d662e3f3b7988f139735bbe2f40be
Late Registration	The Game - Wouldn't Get Far (feat. Kanye West)	Official acapella for "Wouldn't Get Far" by The Game. Vinyl rip. Clean.			3:13	93	Full	CD Quality	https://pillows.su/f/c138aeca6fd3990f52990e11c65aa713
	Live Acapellas								
Late Registration	Crack Music	Leaked acapella of a performance of "Crack Music". The exact source of this performance is unknown, but as no backing track can be heard in the bleed in, it's safe to assume that the acapella was the only thing being performed, and there were no backing instruments. Clean.			1:42	84	Full	CD Quality	https://pillows.su/f/54c99018d8616080431a066bd1ebdd7c
	Instrumentals								
Late Registration	Diamonds From Sierra Leone (prod. Kanye West, Jon Brion & Devo Springsteen)	Official instrumental for "Diamonds From Sierra Leone".			4:01	97.1	Full	Lossless	https://pillows.su/f/8cb262a72873a480812c924489cc92f9
Late Registration	Diamonds From Sierra Leone (Remix) (prod. Kanye West, Jon Brion & Devo Springsteen)	Official instrumental for the remix of "Diamonds From Sierra Leone".			3:32	97.1	Full	CD Quality	https://pillows.su/f/bf6b3abc0008702a01c26c7b17a0119c
Late Registration	Gold Digger	Official instrumental for "Gold Digger".			3:13	92.5	Full	Lossless	https://pillows.su/f/6c8c811009eecf8a1f9e073bd8558139
Late Registration	Heard 'Em Say	Instrumental for "Heard 'Em Say".			3:25	95.1	Full	Lossless	https://pillows.su/f/14b6ff32fc6533aaaaebdca1370dc0f7
Late Registration	Heard 'Em Say	Instrumental for "Heard 'Em Say". Unknown as to why it's almost a minute and a half shorter than the released version, though it maybe for a TV Track.			2:01	95.1	OG File	Lossless	https://pillows.su/f/26db824b667f085f367b1a8a2a9b4c0a
Late Registration	Roses	Official instrumental for "Roses".			4:13	140	Full	CD Quality	https://pillows.su/f/c086762797365a104bc979640e752e3d
Late Registration	Touch The Sky	Official instrumental for "Touch The Sky".			3:57	106.8	Full	Lossless	https://pillows.su/f/7cf261e3dbb708952b954e8269013ba2
Late Registration	Cam'ron - Down and Out (prod. AllDay)	Official instrumental for "Down and Out" by Cam'ron, which features Kanye.			4:20	83	Full	CD Quality	https://pillows.su/f/e27603707866558cba3810de41decc28
Late Registration	Common - Be [Album] (exec. prod. Kanye West)	Zip of vinyl rips for all instrumentals from Be.				Varied	Full	CD Quality	Link needed
Late Registration	Common - Be (prod. Kanye West)	Official instrumental for "Be" by Common. Vinyl rip and inverted for some reason.			2:30	94	Full	Lossless	https://pillows.su/f/6572e6804a86badd6c009b39a7747644
Late Registration	Common - Let It Be Known (prod. Kanye West)	Leaked instrumental of a cut song from Be by Common.			1:15	91	Full	High Quality	https://pillows.su/f/95599d8822ccb1d704df6fea01763ff9
Late Registration	Common - The Corner (prod. Kanye West)	Official instrumental for "The Corner" by Common.			3:44	156	Full	CD Quality	https://pillows.su/f/9f148059423ef9b3428653f0e8cdf431
