Era	Name	Notes (Join The Discord If We Missed Anything)	Copy Length	File Date	Available Length	Quality	Link(s)
	The Life Of Pablo (So Help Me God, Waves, ULTRA)	(12/31/2015) (Kanye drops "Facts" and the rollout begins) (02/14/2016) (The Life Of Pablo officially releases) (06/14/2016) (The Life Of Pablo receives its last update)			The Life Of Pablo is Kanye's 7th studio album, with constant name changes before release. Sporadic and scatter-shot, the album is one of a kind. The title refers to three people: artist Pablo Picasso, drug dealer Pablo Escobar, and Paul the Apostle, whose name is Pablo in Spanish. The album was initially released only on TIDAL, but later made its way to other streaming services with some updates. Kanye finally finished it by adding the track "Saint Pablo."		
The Life Of Pablo	The Life Of Pablo [DJDS Version]	OG Filename: TLOP - DJDS Version DJDS copy of The Life Of Pablo. Track order is:  1. Ultralight Beams 2. Father Stretch 3. Famous / Nina Chop 4. Highlights Intro 5. Highlights (DJDS FULL SONG) 6. Highlights (DJDS - reference song) 7. Freestyle 4 8. FML 9. 30 Hours 10. Facts 11. Fade 12. I Feel Like That 13. Spread My Wings 14. We Deserve	59:25	Feb 2016	OG File	CD Quality	https://pillows.su/f/0e7a84633f82775be22d1e5643917d81
The Life Of Pablo	The Life Of Pablo [DJDS Extended Version]	OG Filename: TLOP - DJDS Extended Version DJDS copy of The Life Of Pablo with extended versions of songs. Features a version of "Father Stretch My Hands" that is 1 hour long.	1:21:09	Feb 2016	OG File	CD Quality	https://pillows.su/f/5c1a4e0b7a2e8821a362ecfefd8f75c6
The Life Of Pablo	The Life Of Pablo [Release V1]	The original release version of The Life Of Pablo.	58:30	Feb 14, 2016	Full	CD Quality	https://pillows.su/f/2babb559fd55151dd9de1b31e16a83fa
The Life Of Pablo	The Life Of Pablo [Release V1.1]	An early release version of The Life Of Pablo. There are many small changes to a couple tracks whether that be features, length, structure etc.	58:31	Mar 13, 2016	Full	CD Quality	https://pillows.su/f/c22356639ad558dd39a96c904783e2c4
The Life Of Pablo	The Life Of Pablo [Release V1.2]	An early release version of The Life Of Pablo. There are many small changes to a couple more tracks whether that be features, length, structure etc.	59:56	Mar 16, 2016	Full	CD Quality	https://pillows.su/f/d9a1f236bc508a56723764e460a2bbb7
The Life Of Pablo	The Life Of Pablo [Release V2]	An early release version of The Life Of Pablo. There are many changes among at least 12 tracks whether that be features, length, structure etc.	59:55	Mar 30, 2016	Full	CD Quality	https://pillows.su/f/46e599d7b9557ad13c1ea0ee3e0e5a00
The Life Of Pablo	The Life Of Pablo [Release V2.1]	An early release version of The Life Of Pablo. This version has only a small change to "30 Hours".	59:55	Apr 2, 2016	Full	CD Quality	https://pillows.su/f/12b528c6557bb2029250b45491e9a602
The Life Of Pablo	The Life Of Pablo [Release V2.2]	The "finished" release version of The Life Of Pablo. There are many changes to tracks compared to the original whether that be features, length, structure etc, alongside the addition of "Saint Pablo".	1:06:01	Jun 14, 2016	Full	CD Quality	https://pillows.su/f/20df9b7425bb418af19aa8a23556f11d
	DAYTONA (Album by Pusha T) (exec. prod. Kanye West) (King Push, Blowbama, Blobama)	(12/18/2015) (King Push – Darkest Before Dawn: The Prelude officially releases) (05/25/2018) (DAYTONA officially releases)			DAYTONA is the third studio album by American rapper Pusha T. It was released on May 25, 2018, by G.O.O.D. Music and Def Jam Recordings. DAYTONA was announced by Kanye West via Twitter on April 19, 2018, alongside the album's release date. It was one of the Wyoming projects worked on during 2018 by Kanye.		
DAYTONA	Blowbama	OG Filename: Blowbama Early copy of "Blowbama". Has 11 tracks. Leaked on 5/16/24 as part of a groupbuy.	33:39	Jul 17, 2017	OG File	CD Quality	https://pillows.su/f/5ca8815e7763518779b7c144b2d76ca3
	K.T.S.E. (Album by Teyana Taylor) (exec. prod. Kanye West)	(11/04/2014) (Teyana Taylor's debut album VII officially releases) (03/??/2018) (Teyana and Kanye start collaborating in Wyoming) (06/23/2018) (K.T.S.E. officially releases)			In an interview with Hot 97 in March of 2018, Taylor revealed that she had been working on music with Kanye in Wyoming, referring to him as "Polo 'Ye" - alluding to him returning to his old "Polo-shirt roots" (i.e. TCD-era production). The album was eventually put on the tail end of the Wyoming releases, releasing June 22nd, 2018. Kanye was notably still finishing the album on the plane ride to the albums LP, as confirmed in a Tweet from Kim Kardashian.    		
K.T.S.E.	K.T.S.E. (exec. prod. Kanye West)	OG Filename: KTSE 6.22.18 24 BIT Copy of K.T.S.E. Made one day before release and with the release mixes. Has 9 tracks that are ordered slightly differently from release (the extra track is a solo version of "We Got Love"). Leaked on 6/9/24.	33:39	Jun 22, 2018	OG File	Lossless	https://pillows.su/f/395d927262b528ccb12e779c0c5bb4f1
	Yandhi [V1]	(06/01/2018) (ye officially releases) (11/13/2018) (Kanye delays Yandhi again after performing at Camp Flog Gnaw)			Upon hearing the beat to "Hurricane" during sessions for Good Ass Job (2018), Kanye became inspired to create a whole new album titled Yandhi. With the album's concept in his mind, Kanye and his producers began frenzied work as they developed multiple new songs throughout September 2018, aiming for a September 29 release date. As they did not meet this deadline, Kanye went to Uganda to conduct further work on the album, but delayed it indefinitely on November 13.		
Yandhi [V1]	Yandhi	OG Filename: REFS Copy of the album from October 1st, 2018. Has 10 tracks.	30:26	Oct 1, 2018	OG File	CD Quality	https://pillows.su/f/8b3af8d57d90f2d4267222f2ac2727bf
	Yandhi [V2]	(11/13/2018) (Kanye delays Yandhi again after performing at Camp Flog Gnaw) (04/21/2019) (Kanye performs at Coachella with Sunday Service Choir)			After Kanye delayed Yandhi indefinitely, he began working with record producer Timbaland to create "more healing music" for the album. Shortly after the announcement of the delay, Kanye underwent a sudden and dramatic conversion towards born-again evangelical Christianity, debuting the Sunday Service Choir at the start of 2019. The creation of the choir coincided with the songs on Yandhi taking a new Christian lyrical focus. Eventually, the album would morph into the thoroughly Christian JESUS IS KING by mid-2019.		
Yandhi [V2]	Yandhi	OG Filename: YE - Previous Current Refs Unordered copy of the album from December 16th, 2018. Has 10 tracks.	33:56	Dec 16, 2018	OG File	CD Quality	https://pillows.su/f/a2c9ccddf1983daadd33a37118792c51
	JESUS IS KING (Christ Jesus)	(04/21/2019) (Kanye performs at Coachella with Sunday Service Choir) (10/25/2019) (JESUS IS KING officially releases) (10/31/2019) (JESUS IS KING receives its last update)			Following a revelation on Easter 2019 at Coachella, Kanye scrapped Yandhi and reworked it to focus on God and Christianity. This album ended up being JESUS IS KING. After a private listening party in Detroit, Kim Kardashian announced that the album would release on Sunday, September 29, following listening parties in Chicago and New York. It didn't, and there were no updates for almost a month. On October 20, 2019, Kanye suddenly reappeared on Twitter to announce the final release date.		
JESUS IS KING	JESUS IS KING	OG Filename: Track List 8.30 This version of the album is the exact copy posted to Kim Kardashian's Twitter, with an extra outro by Labrinth at the end. Leaked as part of the JESUS IS KING bundle groupbuy.	32:48	Aug 30, 2019	OG File	CD Quality	https://pillows.su/f/1932561be740a97b65a0207e7aae8422
JESUS IS KING	JESUS IS KING [Album Masters]	Zip file containing JESUS IS KING masters leaked by Waterfalls. Has some alt mixes, OG files as well as alternate versions ("Everything We Need", "Hands On", etc) in 24 bit quality. Files range from 10/23-10/28 with most being 10/24.		Oct 28, 2019	OG File	Lossless	https://pillows.su/f/05f066edddf3a108712653aa1d6363ec
	God's Country (JESUS IS LORD, Our Beautiful Amazing Reality, Our Beautiful Light Clear Reality, Palm Springs)	(10/25/2019) (JESUS IS KING officially releases) (07/18/2020) (Kanye announces his new album titled DONDA)			Shortly after the release of JESUS IS KING, Kanye (almost immediately) started working on new material. Songs from this era revolve around his faith while also consisting of dark themes (such as prison) and lyrics about current social issues. Initially announced as God's Country on May 20th, 2020 by Arthur Jafa, tracks from this album would go on to be developed further in the DONDA [V1] era, following Kanye getting new inspiration to make an album dedicated to his mother.		
God's Country	Palm Springs	OG Filename: - Palm Springs - Current Refs Super early copy of the album, titled Palm Springs. Dated around November 13th, 2019.	31:25	Nov 13, 2019	OG File	CD Quality	https://pillows.su/f/d16315e3a3baa450eb929838a2400e3f
God's Country	JESUS IS LORD	OG Filename: JIL - Fede Version of the album from January 16th, 2020. Unordered, but contains sessions for each song.		Jan 16, 2020	OG File	Lossless	https://pillows.su/f/3e60eed5c0367aad5271ac1fefd03f2e
God's Country	JESUS IS LORD [E.VAX Version]	E.VAX-produced full copy of Jesus Is Lord from July 5th, 2020. Tracklist order is unknown.	42:01	Jul 5, 2020	Full	Lossless	https://pillows.su/f/9ed5e56f7a660788c440a09d53107df3
God's Country	Travis Scott - UTOPIA [Album] (exec. prod. Kanye West)	A 15-track Kanye copy of Utopia exists, from 2020. Ye claimed in an interview with DJ Akademiks that 4 songs he did in Wyoming eventually ended up on Travis Scott's album. Only two snippets were shown to prove this copy exists, On May 3rd 2025, snippets of the other 15 songs leaked.	~32:00		Snippet	CD Quality	https://pillows.su/f/3cc8710a8d5ef909f53fdfc973311cd4 https://pillows.su/f/6a692878b7affb7545a09fc61a305020 https://pillows.su/f/8e7af23b25b174c6ef0a6ea612470401 https://pillows.su/f/04966ed0f120372b6efd69f9bd5e906d https://pillows.su/f/5f3cee357a136d59303c0dcbe16e4ef3 https://pillows.su/f/6dfd16258b66fcbf80350933829ff20e https://pillows.su/f/adea5294fc99740085fbb68c0fb4c207 https://pillows.su/f/4f51a03794d7fe0d3ca13d0dbe7e90dc https://pillows.su/f/40442160c5dc7f5b43c24cd52dfd8ae4 https://pillows.su/f/e798cc720032b0cb523d417e68ad91eb https://pillows.su/f/b3365dc944426f137b702358792b75fe https://pillows.su/f/314244da179a1c41fe3ec15d1c8f1125 https://pillows.su/f/6c1bc5e6a6e8faca35b660068d82d62e https://pillows.su/f/b400829bf847be745f0fd8723bc41887 https://pillows.su/f/a5d8cedf25ca6a1634bf640c5737deeb
	JESUS IS KING: The Dr. Dre Version (Collaboration with Dr. Dre) (JESUS IS KING II, JESUS IS LORD)	(10/25/2019) (JESUS IS KING officially releases) (09/24/2020) (Dem Jointz reveals that Kanye is no longer focused on the project)			The release of JESUS IS KING was met with mixed reviews from fans and critics. Kanye then took to Twitter to announce that he was working on a new album with Dr. Dre. Initially conceived as a remix album, it eventually grew to incorporate mainly unreleased material. During the #WESTDAYEVER campaign, Kanye did on Twitter in 2020, it was supposed to release officially, but never did. It ended up being scrapped sometime in 2020, as stated by producer Dem Jointz. Kanye posted the cover in 2022, which is assumed to be for the album.		
JESUS IS KING: The Dr. Dre Version	JESUS IS KING: The Dr. Dre Version	Full copy of JESUS IS KING: The Dr. Dre Version from early July 2020. Features 10 songs, with features from Anderson .Paak, Dr. Dre, Snoop Dogg, Eminem, Travis Scott and more, and is fully finished. Was intended to release around June 26th, 2020 for Kanye West's "WestDayEver."	34:52	Jul 2020	OG File	High Quality	https://pillows.su/f/9b48bc6fc71750b9653e4a5a181e975e
	DONDA [V1] (DONDA: WITH CHILD, DND WTH CHLD, DND, God's Country, The First Born Donda)	(07/18/2020) (Kanye announces his new album titled DONDA)  (03/07/2021) (CyHi confirms that Kanye has resumed work on the album)			With new inspiration to work on an album dedicated to his mother, Kanye continued working on previous demos and new ideas. The music of this era reflects Donda's impact on Kanye in a colorful sound while reflecting his mania and the stress he was going through focusing on his businesses while also running for President. With multiple failed release dates for the album, Kanye went into silence in early 2021, finishing up tracks until the album morphed into something very different.		
DONDA [V1]	Donda: With Child (With Child Continous)	OG Filename: With Child_Continous 7.23.20 Copy of Donda: With Child from July 23rd, 2020. Rather than being a zip folder of files, this copy is actually one mp3. Contains many tracks considered throughout July 2020, with the full tracklist in the tracklists section.	1:02:59	Jul 23, 2020	OG File	CD Quality	https://pillows.su/f/6ab3f25d7b784747be764f74a93f411f
DONDA [V1]	DONDA	OG FIlename: DONDA KWLP - 07.31.20 Version of Donda: With Child from July 31st, 2020. 13 tracks long, with "Life Of The Party" included in the zip as well.	38:58	Jul 31, 2020	OG File	CD Quality	https://pillows.su/f/efcaefeac6adfa8302b4957780d0d8d1
DONDA [V1]	Donda: With Child [Visual Album]	Album copy used for the Donda: With Child visual album. The visual album contains video footage promoting YZY Gap, footage of the scenery of the ranch as well as shots with Kanye himself. Audio rip also linked. Contains the following tracks:  1. Pray 4 Me 2. 12,000 Acres 3. Wolves 4. Follow The Light 5. Off The Grid 6. 24 7. Hurricane 8. Alien 9. Keep My Spirit Alive 10. God's Country 11. Future Sounds 12. I Know God Breathed On This 13. With Child 14. Crash Landing	34:29	Aug 10, 2020	OG File	CD Quality	https://pillows.su/f/46c9d288435820eb9837511d0eedd724 https://pillows.su/f/8cbeb5f2f0fdf5d0fa88819f90d4b329
DONDA [V1]	Donda	OG Filename: Donda for Todd Copy of Donda: With Child sent to Todd Rundgren on December 7th, 2020.	55:39	Dec 7, 2020	OG File	CD Quality	https://pillows.su/f/68db3d900e8a7c58f727244b6709f2bd
DONDA [V1]	Donda	Short copy of Donda from January 2021. Primarily features Ojivolta versions of songs, with Justin Austin vocals.	21:40	Jan 2021	Full	CD Quality	https://pillows.su/f/cf681aba1c9bd79a965b4c12415cc47b
	Donda [V3]	(07/09/2021) (Malik Yusef posts about a change in sound direction for the album) (08/29/2021) (Donda officially releases) (11/15/2021) (Donda (Deluxe) officially releases)			Almost a year after the initial announcement of Donda, a Beats by Dre ad revealed that a listening party would take place at the Mercedes-Benz Stadium in Atlanta. It happened, but the album didn't drop. Kanye moved into the stadium and lived there until the second listening event two weeks later. Once again, the album did not release. Ye later announced a third listening party at Soldier Field in Chicago, with the album coming the next day. It didn't. The album ended up releasing on August 29th, 2021 at 8AM EST, almost two days after the final listening party.		
Donda [V3]	Donda	OG Filename: Archive Leaked 2/25/24. Has songs as early as 2020 and as late as July 2021. From Pierre-Louis Auvrey.	45:05	Jul 2021	OG File	CD Quality	https://pillows.su/f/a3477576fa3aaa00873f950f6f43bf56
Donda [V3]	Donda	OG Filename: Album 10 Copy of the album from July 13th, 2021.	58:31	Jul 13, 2021	OG File	CD Quality	https://pillows.su/f/9669bc61467ee0fe764026795bda1bd5
Donda [V3]	Donda	OG Filename: Album 11 Rev 1 OG Password: JamesDean Another copy of the album from July 13th, 2021.	47:40	Jul 13, 2021	OG File	CD Quality	https://pillows.su/f/29d2168eafdedc690df9c211473cfd6b
Donda [V3]	Donda	OG Filename: Whiteboard Playlist 210715 OG Password: 101520 Copy of the album from July 15th, 2021.	32:25	Jul 15, 2021	OG File	CD Quality	https://pillows.su/f/93a898811b71b778c89059e060e33dbe
Donda [V3]	Donda	OG Filename: 03 July 13 Copy of the album from around July 16th, 2021. Labeled as from July 13th, but contains files from July 14th-16th.	57:33	Jul 16, 2021	OG File	CD Quality	https://pillows.su/f/c44fa85b804308fb7799a54cb6ac7f63
Donda [V3]	Donda	OG Filename: Sequence 7 18 21 OG Password: 101520 Copy of the album from July 18th, 2021, identical to the copy above.	57:33	Jul 18, 2021	OG File	CD Quality	https://pillows.su/f/e40384c6cd56fc030bd51bdf3c9dde82
Donda [V3]	Donda	OG Filename: Album 10 - playlist - 210719 OG Password: 101520 Copy of the album from July 19th, 2021.	1:27:35	Jul 19, 2021	OG File	CD Quality	https://pillows.su/f/187b7c27e179d55516a13054aea1db55
Donda [V3]	Donda	OG Filename: Album 10 - 210721 update OG Password: 101520 Copy of the album from July 21st, 2021.	37:36	Jul 21, 2021	OG File	CD Quality	https://pillows.su/f/b921bbc065f466649aed7e463b522bb5
Donda [V3]	Donda	OG Filename: 07 Donda as of Sat July 24 Copy of the album from July 24th, 2021. Contains full MIKE DEAN mixes of the album, with identical and similar files to versions played at the LP1 listening party.	43:34	Jul 24, 2021	OG File	CD Quality	https://pillows.su/f/2cfe74b335fa85478326488b49cc5fc5
Donda [V3]	Donda	OG Filename: 08 Donda as of Aug 19 Copy of the album from August 19th, 2021.	1:28:59	Aug 19, 2021	OG File	CD Quality	https://pillows.su/f/4d71661a2675523ed6f3f2adf1a41436
Donda [V3]	Donda	OG Filename: 09 Donda as Aug 21 Copy of the album from August 21st, 2021.	1:28:19	Aug 21, 2021	OG File	CD Quality	https://pillows.su/f/383cd2adb2ed551f4eb61a849147a2b3
Donda [V3]	Donda	OG Filename: 10 Donda as of Aug 23 Copy of the album from August 23rd, 2021.	1:35:38	Aug 23, 2021	OG File	CD Quality	https://pillows.su/f/eb1d34dc935059d44a940facb039fbcb
Donda [V3]	Donda	OG Filename: 11 Donda as of Aug 25 Copy of the album from August 25th, 2021.	1:30:19	Aug 25, 2021	OG File	CD Quality	https://pillows.su/f/6c50b73e2a8c328cb2e89282efa3e16a
	Donda 2 (For The Children, Donda 2: 4 Da Kidz)	(11/15/2021) (Ye releases Donda (Deluxe)) (10/03/2022) (Ye wears the White Lives Matter shirt)			Donda 2 was announced by Ye via Instagram, being executive produced by Future. Ye then proceeded to get into many significant controversies. He hosted a listening party for it in Miami, in which many of the tracks were unfinished. It was released on the Stem Player a few days later, but it was still incomplete. Months later, Ye got into even more controversies, making him get dropped by Adidas, buy the social media Parler, and lose his billionaire status following his proclaiming "White Lives Matter" at Yeezy Season 9.		
Donda 2	Donda 2	OG Filename: 2022 Hide away Earliest known copy of Donda 2 from February 4, 2022. File metadata says files were copied/rebounced on February 15th. Includes a folder of "PICKED" songs.	1:35:15	Feb 4, 2022	OG File	CD Quality	https://pillows.su/f/7bf656f3069c21d1524af9aed7013926
Donda 2	Donda 2	OG Filename: - PICKED "Picked" songs from the above copy, about 10 songs were excluded.	50:35	Feb 4, 2022	OG File	CD Quality	https://pillows.su/f/a547cfc2e121d4fae331ea01d6033a3e
Donda 2	Donda 2	OG Filename: TRACKLIST 2022-02-13 Copy of Donda 2 from February 13th, 2022. Contains mostly Digital Nas and Beach House alts. Length includes all files. Tracklist meant for this copy of the album also included "City of Gods" and "Wait 4 U", but is not included in this copy of the album.	1:11:24	Feb 13, 2022	OG File	CD Quality	https://pillows.su/f/cc7762402dd23790a593e755e1e6aebc
Donda 2	Donda 2	Copy of Donda 2 put together via files found in a mass leak, so some extra possible files that might have been considered for this copy are in a folder inside the linked zip. Length does not include the extra possible files.	1:01:49	Feb 2022	OG File	CD Quality	https://pillows.su/f/71e8c9aa77a4a82866851fd63358dde3
Donda 2	Donda 2	OG Filename: Donda 2 Tracklist (Album.02 Writer References) Copy of Donda 2 from around February 20th - February 22nd, 2022. Has a similar order to tracklists posted on Kanye's Instagram, and contains files reused for the pre-LP tracklist posted by Quavo.	1:16:15	Feb 2022	OG File	CD Quality	https://pillows.su/f/3ebe3ccb537066c71fd35b5d7e9b9bd9
Donda 2	Donda 2: For The Children	OG Filename: Mike Dean - All Versions of Songs Copy made the day before Donda 2's intended release of 2/22/22. According to American, almost every song has production added from MIKE DEAN. Snippet pack leaked 11/8/24, with the full copy leaking on 11/21/24.	2:15:37	Feb 21, 2022	OG File	CD Quality	https://pillows.su/f/dc9ed68f5906e07cfaaf2a9300f8a46c
Donda 2	Donda 2 [Stem Player]	OG files for the most recent Donda 2 stem player copy except for the updated "Flowers" from late 2022. "True Love", the latest bounced song, is dated February 25th.	47:27	Feb 25, 2022	OG File	Lossless	https://pillows.su/f/b28e958ee69e0da5facec1e2e3903fc8
Donda 2	Donda 2	OG Filename: Donda 2 Tracklist - 2022-03-21 Copy of Donda 2 from March 21st, 2022. Very similar to the released stem player copy, with finished/updated versions of songs added as well as slight tracklist restructures.	55:17	Mar 21, 2022	OG File	CD Quality	https://pillows.su/f/917a46edce33cf45b56af613ef334285
